,name,location,price_for_two,cuisines,rating,restaurant_link
125,Boho,"Brookefields Mall, Brookefield, Bangalore",2500,"Bar Food, North Indian, Continental, Asian, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/boho-brookefield-bangalore/info
126,The Scene - Craft Kitchen & Bar,"JP Nagar, Bangalore",1500,"North Indian, Continental, Asian, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/the-scene-craft-kitchen-bar-jp-nagar-bangalore/info
127,The French Treaty,"Yelahanka, Bangalore",1000,"Cafe, Coffee, French, Desserts, Beverages",3.5,https://www.zomato.com/bangalore/the-french-treaty-1-yelahanka-bangalore/info
128,Bombay Curry House,"Embassy Manyata Business Park,  Nagawara , Bangalore",1300,"South Indian, North Indian, Chinese, Bar Food, Salad, Biryani, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/bombay-curry-house-nagawara-bangalore/info
129,Mitico Coffee Roasters,"Koramangala 5th Block, Bangalore",900,"Cafe, Continental, Italian, Burger, North Indian, Salad, Shake, Beverages",4.4,https://www.zomato.com/bangalore/mitico-coffee-roasters-koramangala-5th-block-bangalore/info
130,Elysium By Stories,"Sarjapur Road, Bangalore",1600,"South Indian, North Indian, Fast Food, Oriental",4.2,https://www.zomato.com/bangalore/elysium-by-stories-sarjapur-road-bangalore/info
131,Flo,"Church Street, Bangalore",1900,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/flo-church-street-bangalore/info
132,Nevermind - Bar & Social,"Indiranagar, Bangalore",1800,"Bar Food, North Indian, Chinese, Continental, Burger",4.1,https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info
133,Oyster Bar & Kitchen,"HSR, Bangalore",1600,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",4.5,https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info
134,Umbaa Pub And Kitchen,"ITPL Main Road, Whitefield, Bangalore",1500,"Bar Food, North Indian, Mughlai, Continental, Beverages",4.5,https://www.zomato.com/bangalore/umbaa-pub-and-kitchen-1-itpl-main-road-whitefield-bangalore/info
135,Jamming Goat 3.0,"JP Nagar, Bangalore",1500,"North Indian, Asian, Desserts",4.3,https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info
136,24@43 - The Oterra,"The Oterra, Hosur Road, Bangalore",3700,"North Indian, Asian, Continental, Fast Food, Biryani, Desserts",4.1,https://www.zomato.com/bangalore/2443-the-oterra-electronic-city/info
