,name,latitude,longitude,delivery_review_number,location
456,The Biere Club,12.9712109294,77.5975607336,29,"Lavelle Road, Bangalore"
457,Neer,13.0423463000,77.6181425000,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
458,Dolci Desserts,12.9864938088,77.5950367749,900,"Cunningham Road, Bangalore"
459,Tiger Trail - Royal Orchid Hotel,12.9572943000,77.6436790000,221,"Royal Orchid Hotel,  Old Airport Road, Bangalore"
460,Tree Tops Bar & Kitchen,12.9745980216,77.5995200872,16,"Hotel Southern Star, Lavelle Road, Bangalore"
461,Hoppipola,12.9752080004,77.6039118692,126,"Church Street, Bangalore"
462,Board 4 Bored,12.9403574186,77.5712854788,106,"Basavanagudi, Bangalore"
463,Bake Stir Fry Cafe,12.9690207000,77.7378129000,12,"Whitefield, Bangalore"
464,South Ruchis Square,12.9840412539,77.5780550390,"1,885","Race Course Road, Bangalore"
465,Casa Fresco By Tea Brew,12.9207510000,77.6503960000,763,"HSR, Bangalore"
466,"The Lantern Restaurant & Bar - The Ritz-Carlton, Bangalore",12.9672333000,77.6017788000,16,"The Ritz-Carlton, Bangalore"
467,Saffron,12.9496934692,77.6992838457,69,"Radisson Blu, Marathahalli, Bangalore"
468,Jalebbi Kitchen & Bar,12.9863714589,77.5955534268,26,"Cunningham Road, Bangalore"
469,Copper Chimney,,,69,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
470,Drunken Daddy,12.9343393821,77.6159057021,10,"Koramangala 5th Block, Bangalore"
471,Chulha Chauki Da Dhaba,12.9096144704,77.6852025837,"4,333","Sarjapur Road, Bangalore"
472,Terra Bites,12.9341931000,77.6258725000,307,"Koramangala 4th Block, Bangalore"
473,1 BHK - Bar House Kitchen,12.9364110905,77.6209817827,79,"Koramangala 6th Block, Bangalore"
474,Suzy Q,12.9839510836,77.5967667997,243,"Cunningham Road, Bangalore"
475,PizzaExpress,12.9704592908,77.6391971577,55,"Indiranagar, Bangalore"
476,Nando's,12.9974320000,77.6965400000,"4,592","Phoenix Marketcity Bangalore, Whitefield, Bangalore"
477,Itasian,13.0740076882,77.6188371746,66,"Jakkur, Bangalore"
478,Momoz,12.9139308000,77.6088683000,0,"BTM, Bangalore"
479,LOKA - Greenpark Hotels,12.9081299000,77.6015863000,8,"Bannerghatta Road, Bangalore"
480,Sanchez,12.9718954087,77.5961545855,366,"UB City, Bangalore"
481,Just Loaf,12.9313477739,77.6234691464,0,"Koramangala 3rd Block, Bangalore"
482,Nasi And Mee,12.9349347550,77.6291863248,"2,267","Koramangala 4th Block, Bangalore"
483,Kebapci,12.9362411719,77.6221260801,"2,887","Koramangala 6th Block, Bangalore"
484,Boba Bhai,12.8442435000,77.6656220000,"1,033","Electronic City, Bangalore"
485,Be Bhukkad,13.0408041570,77.6203890145,124,"Nagawara, Bangalore"
486,Zodiac - Fortune Select JP Cosmos Hotel,12.9896993763,77.5947973877,3,"Fortune Select JP Cosmos Hotel, Bangalore"
487,CEVI,12.9168407000,77.6450439000,13,"HSR, Bangalore"
488,Platform.65,12.8794380000,77.5954210000,440,"Bannerghatta Road, Bangalore"
