,name,location,price_for_two,cuisines,rating,restaurant_link
186,Gochick,"HSR, Bangalore",400,"Burger, Fast Food",3.9,https://www.zomato.com//bangalore/gochick-hsr-bangalore/info
187,Table For Tous,"HSR, Bangalore",750,"Desserts, Bakery, Coffee, Cafe",4.2,https://www.zomato.com//TableForTous/info
188,Skyline Rooftop Bar & Kitchen,"Livin Hub Hotel, Bangalore",1800,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages",4.4,https://www.zomato.com//bangalore/skyline-rooftop-bar-kitchen-marathahalli-bangalore/info
189,JULIET,"1 MG Road Mall, MG Road, Bangalore",2500,"Asian, Continental, Sushi, Thai, Japanese, Desserts",4.0,https://www.zomato.com//bangalore/juliet-mg-road-bangalore/info
190,KFC,"Uttarahalli, Bangalore",500,"Fast Food, Burger, Biryani, Desserts, Beverages",3.8,https://www.zomato.com//bangalore/kfc-uttarahalli-bangalore/info
191,Sstella Asian Kitchen And Bar,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore",1000,"Asian, Chinese, Desserts, Beverages",4.5,https://www.zomato.com//bangalore/sstella-asian-kitchen-and-bar-bannerghatta-road-bangalore/info
192,Cocobolo,"New BEL Road, Bangalore",1000,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/cocobolo-new-bel-road-bangalore/info
193,Kathpal's,"Vega City, Bannerghatta Road, Bangalore",1000,"North Indian, Chinese, Biryani, Street Food, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/kathpals-bannerghatta-road-bangalore/info
194,Hitchki,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",2000,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/hitchki-kr-puram-bangalore/info
195,Ambedo Kitchen|Taproom,"JP Nagar, Bangalore",1500,"Continental, Asian, North Indian, Italian, Pizza, Sushi",4.5,https://www.zomato.com//bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore/info
196,Gwalia,"ITPL Main Road, Whitefield, Bangalore",250,"North Indian, Street Food, Ice Cream, Mithai, Desserts",4.0,https://www.zomato.com//bangalore/gwalia-itpl-main-road-whitefield-bangalore/info
197,The Rajputana,"Brookefield, Bangalore",1000,"North Indian, Gujarati, Desserts, Mithai, Beverages",3.2,https://www.zomato.com//bangalore/the-rajputana-1-brookefield-bangalore/info
198,Rasta Cafe,"Mysore Road, Bangalore",1200,"Cafe, Continental, Italian, Beverages, Desserts",3.2,https://www.zomato.com//bangalore/rasta-cafe-mysore-road/info
199,Tiamo - Conrad Bengaluru,"Conrad Bengaluru, Ulsoor, Bangalore",3000,"Italian, Mediterranean, Fast Food",4.0,https://www.zomato.com//bangalore/tiamo-conrad-bengaluru-ulsoor/info
200,White Garden,"Kalyan Nagar, Bangalore",1600,"North Indian, Italian, Lebanese, Asian, Continental, Desserts",4.2,https://www.zomato.com//bangalore/white-garden-kalyan-nagar-bangalore/info
201,1522 - The Pub,"JP Nagar, Bangalore",1800,"Chinese, North Indian, Mughlai, Finger Food, Seafood",4.4,https://www.zomato.com//bangalore/1522-the-pub-jp-nagar-bangalore/info
202,The Peak,"Sahakara Nagar, Bangalore",1000,"Continental, Mangalorean",4.3,https://www.zomato.com//bangalore/the-peak-2-sahakara-nagar-bangalore/info
203,Burma Burma - Indiranagar,"Indiranagar, Bangalore",1800,"Burmese, Asian, Salad, Bubble Tea, Ice Cream, Desserts",4.8,https://www.zomato.com//bangalore/burma-burma-indiranagar-indiranagar-bangalore/info
204,Mallika Biryani - Bileshivale Road,"Hennur, Bangalore",500,"Biryani, South Indian",4.2,https://www.zomato.com//bangalore/mallika-biryani-bileshivale-road-hennur-bangalore/info
205,The Pump House,"JP Nagar, Bangalore",2500,"Continental, Chinese, North Indian, Italian, Asian, Salad, Pizza, Desserts",4.4,https://www.zomato.com//bangalore/the-pump-house-1-jp-nagar-bangalore/info
206,Pizza 4P's,"Indiranagar, Bangalore",1000,Pizza,New,https://www.zomato.com//bangalore/pizza-4ps-indiranagar-bangalore/info
207,Pasta Street,"JP Nagar, Bangalore",1800,"Pasta, Pizza, Italian, Salad, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/pasta-street-jp-nagar-bangalore/info
208,The Filter Coffee,"Indiranagar, Bangalore",200,"South Indian, Beverages",3.5,https://www.zomato.com//bangalore/the-filter-coffee-indiranagar-bangalore/info
209,WOW! Momo,"Brigade Road, Bangalore",400,"Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts",3.4,https://www.zomato.com//bangalore/wow-momo-1-brigade-road/info
210,The Pallet,"Whitefield, Bangalore",2500,"Finger Food, North Indian, Continental, Chinese, Italian, Beverages",4.3,https://www.zomato.com//bangalore/the-pallet-2-whitefield-bangalore/info
211,The Groot,"Bhartiya Mall of Bengaluru, Bangalore",1000,"Italian, North Indian, Chinese, Burger, Pasta, Pizza, Salad, Desserts",3.8,https://www.zomato.com//bangalore/the-groot-jakkur-bangalore/info
212,Flyover Drinkery,"Esteem Mall, Hebbal, Bangalore",1800,"Bar Food, Continental, Oriental, Asian, Pasta, North Indian, South Indian, Desserts",4.4,https://www.zomato.com//bangalore/flyover-drinkery-hebbal-bangalore/info
213,"Frozen Bottle - Milkshakes, Desserts And Ice Cream","HSR, Bangalore",350,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",3.6,https://www.zomato.com//bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-hsr-bangalore/info
214,Geometry Gastropub,"New BEL Road, Bangalore",1600,"Continental, North Indian, Chinese, Mughlai, Biryani, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/geometry-gastropub-new-bel-road-bangalore/info
215,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore",3500,"Iranian, Mediterranean, Afghan, Seafood, Desserts",4.2,https://www.zomato.com//bangalore/the-persian-terrace-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram/info
216,Burger King,"HSR, Bangalore",400,"Burger, Fast Food, Desserts, Beverages",3.8,https://www.zomato.com//bangalore/burger-king-hsr-bangalore/info
217,Burgermeister - Burgers Shakes & Wings,"HSR, Bangalore",300,"Burger, Fast Food, Shake, Beverages, Desserts",3.8,https://www.zomato.com//bangalore/burgermeister-burgers-shakes-wings-hsr-bangalore/info
218,Tanjosh,"Domlur, Bangalore",1000,"North Indian, Mughlai, Chinese, Desserts",New,https://www.zomato.com//bangalore/tanjosh-domlur-bangalore/info
219,Flechazo,"Marathahalli, Bangalore",1000,"North Indian, Chinese, Pizza, Continental, Fast Food, Desserts, Shake, Beverages",4.3,https://www.zomato.com//bangalore/flechazo-1-marathahalli-bangalore/info
220,Plan B,"Koramangala 7th Block, Bangalore",1600,"American, Continental, Burger, Pizza, Tex-Mex, Fast Food",4.0,https://www.zomato.com//bangalore/plan-b-koramangala-7th-block-bangalore/info
221,Levels Pub & Kitchen,"JP Nagar, Bangalore",1700,"Asian, South Indian, North Indian",4.4,https://www.zomato.com//bangalore/levels-pub-kitchen-jp-nagar-bangalore/info
222,"Torye Drink, Dine & Dance","Rajarajeshwari Nagar, Bangalore",2000,Continental,3.7,https://www.zomato.com//bangalore/torye-drink-dine-dance-rajarajeshwari-nagar-bangalore/info
223,Bologna,"Indiranagar, Bangalore",1500,"Italian, Pasta, Pizza, Desserts",4.8,https://www.zomato.com//bangalore/bologna-indiranagar-bangalore/info
224,The Soda Factory,"Nagarbhavi, Bangalore",1100,"North Indian, Chinese, Pasta, Pizza, Fast Food, Biryani, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/the-soda-factory-nagarbhavi-bangalore/info
225,Khai Khai,"HSR, Bangalore",500,"Bengali, North Indian, Biryani, Rolls, Continental, Street Food, Beverages",4.1,https://www.zomato.com//bangalore/khai-khai-hsr-bangalore/info
226,Cafe Reset Your Happy Place,"Koramangala 6th Block, Bangalore",950,"Healthy Food, Continental, Italian, Beverages",4.6,https://www.zomato.com//bangalore/cafe-reset-your-happy-place-koramangala-6th-block-bangalore/info
227,Sugar Factory Reloaded,"Koramangala 5th Block, Bangalore",1800,"North Indian, Continental, Italian, Chinese, Asian, American",4.1,https://www.zomato.com//bangalore/sugar-factory-reloaded-koramangala-5th-block-bangalore/info
228,Geist Brewing Co.,"Old Madras Road, Bangalore",1700,"American, Pizza, Italian, Fast Food, North Indian, Pasta, Desserts, Beverages",4.2,https://www.zomato.com//bangalore/geist-brewing-co-old-madras-road-bangalore/info
229,Rajdhani,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",1200,"Gujarati, North Indian, Rajasthani",4.0,https://www.zomato.com//bangalore/rajdhani-1-whitefield-bangalore/info
230,Inanna Tap Room,"Bannerghatta Road, Bangalore",2000,"Chinese, North Indian, Burger, Pizza, Italian, Desserts",4.1,https://www.zomato.com//bangalore/inanna-tap-room-bannerghatta-road-bangalore/info
231,Dobaraa,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",1200,"Continental, North Indian, Salad, Desserts",4.3,https://www.zomato.com//bangalore/dobaraa-kr-puram-bangalore/info
232,Farata Parata,"Hosur Road, Bangalore",150,North Indian,4.0,https://www.zomato.com//bangalore/farata-parata-1-hosur-road-bangalore/info
233,Third Wave Coffee,"Banashankari, Bangalore",700,"Cafe, Coffee, Sandwich, Pizza, Fast Food, Tea, Beverages",4.1,https://www.zomato.com//bangalore/third-wave-coffee-banashankari-bangalore/info
234,India Sweet House,"HSR, Bangalore",300,"Mithai, Street Food, Beverages",4.1,https://www.zomato.com//bangalore/india-sweet-house-hsr-bangalore/info
235,Coffee Stories,"JP Nagar, Bangalore",1200,"Cafe, Coffee, Pizza, North Indian, Pasta, Desserts, Chinese, Beverages",4.0,https://www.zomato.com//bangalore/coffee-stories-jp-nagar-bangalore/info
236,Vyana Flavors Of Nature,"JP Nagar, Bangalore",1700,"North Indian, Oriental, Continental, Chinese, Salad, Pizza, Fast Food, Desserts",3.9,https://www.zomato.com//bangalore/vyana-flavors-of-nature-jp-nagar-bangalore/info
237,Toca,"Koramangala 5th Block, Bangalore",1400,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",4.2,https://www.zomato.com//bangalore/toca-koramangala-5th-block-bangalore/info
238,Oziano,"Varthur Main Road, Whitefield, Bangalore",1000,"Bengali, Biryani",4.0,https://www.zomato.com//bangalore/oziano-varthur-main-road-whitefield-bangalore/info
239,Kapoor's Chaat Bhandaar,"Sarjapur Road, Bangalore",500,"Street Food, Desserts, Beverages",4.0,https://www.zomato.com//bangalore/kapoors-chaat-bhandaar-sarjapur-road-bangalore/info
240,Pinds Of Punjab,"Kadubeesanahalli, Bangalore",200,"North Indian, Street Food, Beverages",4.4,https://www.zomato.com//bangalore/pinds-of-punjab-kadubeesanahalli-bangalore/info
